generic-name,MachineLearningResearch-accession-number,type,unii,cas-number,iupac-name,smiles,Structure,Chembl,Average weight,Monoisotopic weight,Synonyms,Categories,Substituents
Darbepoetin alfa,,Biotech,15UQ94PT4P,209810-58-2,,,,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/CHEMBL1201566,,,"0                     Darbepoetin
1                Darbepoetin alfa
2    Darbepoetin alfa,recombinant
3               Darbepoetina alfa
Name: nan_synonyms, dtype: object","0     Amino Acids, Peptides, and Proteins
1                 Antianemic Preparations
2          Blood and Blood Forming Organs
3              Colony-Stimulating Factors
4       Erythropoiesis-Stimulating Agents
5                           Glycoproteins
6                              Hematinics
7                      Hematologic Agents
8       Hematopoietic Cell Growth Factors
9     Increased Erythroid Cell Production
10                               Proteins
Name: nan_cat, dtype: object","Series([], Name: nan_subs, dtype: object)"
Urokinase,,Biotech,83G67E21XI,9039-53-6,,,,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/CHEMBL1201420,,,"0    Kinase (enzyme-activating), uro-urokinase
1                                         TCUK
2                     Tissue culture urokinase
3                          Two-chain urokinase
4                                   Urochinasi
5                                    Urokinase
6                                   Urokinasum
7                                   Uroquinasa
Name: nan_synonyms, dtype: object","0                             Agents causing angioedema
1                   Amino Acids, Peptides, and Proteins
2                                        Anticoagulants
3                                    Biological Factors
4                        Blood and Blood Forming Organs
5                                        Blood Proteins
6                                        Endopeptidases
7                                               Enzymes
8                                 Enzymes and Coenzymes
9                                   Fibrinolytic Agents
10                                           Hydrolases
11                               Increased Thrombolysis
12                                   Peptide Hydrolases
13                               Plasminogen Activators
14                                             Proteins
15                                Serine Endopeptidases
16                                     Serine Proteases
17    Urokinase-Type Plasminogen Activator, antagoni...
Name: nan_cat, dtype: object","Series([], Name: nan_subs, dtype: object)"
Reteplase,,Biotech,DQA630RIE9,133652-38-7,,,,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/CHEMBL2107885,,,"0    Human t-PA (residues 1-3 and 176-527)
1                                Reteplasa
2                                Reteplase
3                   Reteplase, recombinant
4                    Reteplase,recombinant
Name: nan_synonyms, dtype: object","0               Agents causing angioedema
1     Amino Acids, Peptides, and Proteins
2                          Anticoagulants
3                      Biological Factors
4          Blood and Blood Forming Organs
5                          Blood Proteins
6                   Cardiovascular Agents
7                          Endopeptidases
8                                 Enzymes
9                   Enzymes and Coenzymes
10               Fibrin Modulating Agents
11                    Fibrinolytic Agents
12                     Hematologic Agents
13                             Hydrolases
14                     Peptide Hydrolases
15                 Plasminogen Activators
16                               Proteins
17                  Serine Endopeptidases
18                       Serine Proteases
19           Tissue Plasminogen Activator
Name: nan_cat, dtype: object","Series([], Name: nan_subs, dtype: object)"
Erythropoietin,,Biotech,64FS3BFH5W,11096-26-7,,,,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/CHEMBL1201565,,,"0                                  E.P.O.
1                            Epoetin alfa
2                       Epoetin alfa rDNA
3                       Epoetin alfa-epbx
4               Epoetin alfa, recombinant
5                            Epoetin beta
6                       Epoetin beta rDNA
7                         Epoetin epsilon
8                           Epoetin gamma
9                      Epoetin gamma rDNA
10                          Epoetin kappa
11                          Epoetin omega
12                          Epoetin theta
13                           Epoetin zeta
14                          Epoetina alfa
15                          Epoetina beta
16                         Epoetina dseta
17                          Epoetina zeta
18                          Epoétine zêta
19                         Epoetinum zeta
20      Erythropoiesis stimulating factor
21    Erythropoietin (human, recombinant)
22     Erythropoietin (recombinant human)
23                                    ESF
24                      SH-polypeptide-72
Name: nan_synonyms, dtype: object","0               Amino Acids, Peptides, and Proteins
1                           Antianemic Preparations
2                                Biological Factors
3                    Blood and Blood Forming Organs
4                        Colony-Stimulating Factors
5                                         Cytokines
6                 Erythropoiesis-Stimulating Agents
7                          Erythropoietin, genetics
8                                     Glycoproteins
9                                        Hematinics
10                               Hematologic Agents
11                Hematopoietic Cell Growth Factors
12              Increased Erythroid Cell Production
13    Intercellular Signaling Peptides and Proteins
14                                         Peptides
15                                         Proteins
Name: nan_cat, dtype: object","Series([], Name: nan_subs, dtype: object)"
Salmon calcitonin,,Biotech,7SFC6U2VI5,47931-85-1,,,,,,,"0    Calcitonin (Salmon Synthetic)
1                Calcitonin salmon
2    Calcitonin salmon recombinant
3                Calcitonin-salmon
4               Calcitonin, salmon
5     Calcitonina salmón sintética
6    Recombinant salmon calcitonin
7                Salmon calcitonin
Name: nan_synonyms, dtype: object","0                   Amino Acids, Peptides, and Proteins
1                      Bone Density Conservation Agents
2                            Bone Density, drug effects
3                               Calcitonin Preparations
4                                   Calcium Homeostasis
5                Calcium-Regulating Hormones and Agents
6                Drugs that are Mainly Renally Excreted
7                                              Hormones
8     Hormones, Hormone Substitutes, and Hormone Ant...
9                                 Nerve Tissue Proteins
10                                        Neuropeptides
11               Parathyroid and Antiparathyroid Agents
12                   Parathyroid Hormones and Analogues
13                                     Peptide Hormones
14                                             Peptides
15                                             Proteins
16    Systemic Hormonal Preparations, Excl. Sex Horm...
17                                     Thyroid Products
Name: nan_cat, dtype: object","Series([], Name: nan_subs, dtype: object)"
Interferon alfa-n3,,Biotech,47BPR3V3MP,Not Available,,,,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/CHEMBL2109047,,,"0    Interferon alfa-n3
Name: nan_synonyms, dtype: object","0                                      Alfa Interferons
1                   Amino Acids, Peptides, and Proteins
2                                    Biological Factors
3                    Cytochrome P-450 CYP1A2 Inhibitors
4     Cytochrome P-450 CYP1A2 Inhibitors (strength u...
5                    Cytochrome P-450 Enzyme Inhibitors
6                                             Cytokines
7                              Immunosuppressive Agents
8         Intercellular Signaling Peptides and Proteins
9                                      Interferon alpha
10                                    Interferon Type I
11                                     Interferon-alpha
12                                          Interferons
13                              Myelosuppressive Agents
14                                             Peptides
15                                             Proteins
Name: nan_cat, dtype: object","Series([], Name: nan_subs, dtype: object)"
Pegfilgrastim,,Biotech,3A58010674,208265-92-3,,,,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/CHEMBL1201568,,,"0    Granulocyte colony-stimulating factor pegfilgr...
1                                       peg-filgrastim
2                                        Pegfilgrastim
3                                   pegfilgrastim-apgf
4                                   pegfilgrastim-bmez
5                                   pegfilgrastim-cbqv
6                                   pegfilgrastim-jmdb
Name: nan_synonyms, dtype: object","0                                Adjuvants, Immunologic
1                                              Alcohols
2                   Amino Acids, Peptides, and Proteins
3            Antineoplastic and Immunomodulating Agents
4                                    Biological Factors
5                                         Carbohydrates
6                            Colony-Stimulating Factors
7     Compounds used in a research, industrial, or h...
8                                             Cytokines
9                                      Ethylene Glycols
10                                      Glycoconjugates
11                                              Glycols
12                                        Glycoproteins
13               Granulocyte Colony-Stimulating Factors
14                                           Hematinics
15                    Hematopoietic Cell Growth Factors
16                    Increased Myeloid Cell Production
17        Intercellular Signaling Peptides and Proteins
18                              Leukocyte Growth Factor
19                            Macromolecular Substances
20                                     Pegylated agents
21                                             Peptides
22                                             Polymers
23                                             Proteins
Name: nan_cat, dtype: object","Series([], Name: nan_subs, dtype: object)"
Sargramostim,,Biotech,5TAA004E22,123774-72-1,,,,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/CHEMBL1201670,,,"0    Recombinant human granulocyte-macrophage colon...
1                                              rGM-CSF
2                                           rHu GM-CSF
3                                         Sargramostim
Name: nan_synonyms, dtype: object","0                               Adjuvants, Immunologic
1                  Amino Acids, Peptides, and Proteins
2           Antineoplastic and Immunomodulating Agents
3                                   Biological Factors
4                           Colony-Stimulating Factors
5                                            Cytokines
6                                        Glycoproteins
7     Granulocyte-Macrophage Colony-Stimulating Factor
8                    Hematopoietic Cell Growth Factors
9                                  Immunologic Factors
10                   Increased Myeloid Cell Production
11       Intercellular Signaling Peptides and Proteins
12                             Leukocyte Growth Factor
13                                            Peptides
14                                            Proteins
Name: nan_cat, dtype: object","Series([], Name: nan_subs, dtype: object)"
Secretin human,,Biotech,A0426J905J,108153-74-8,,,,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/CHEMBL3039582,,,"0              Human secretin
1                    Secretin
2            Secretin (human)
3              Secretin human
4    Secretin synthetic human
5    Synthetic human secretin
Name: nan_synonyms, dtype: object","0                   Amino Acids, Peptides, and Proteins
1                                     Diagnostic Agents
2                               Gastrointestinal Agents
3                             Gastrointestinal Hormones
4                                              Hormones
5     Hormones, Hormone Substitutes, and Hormone Ant...
6                                 Nerve Tissue Proteins
7                                         Neuropeptides
8                                      Peptide Hormones
9                                              Peptides
10                                             Proteins
11                                             Secretin
12                               Secretin-class Hormone
13                        Tests for Pancreatic Function
Name: nan_cat, dtype: object","Series([], Name: nan_subs, dtype: object)"
Peginterferon alfa-2b,,Biotech,G8RGG88B68,215647-85-1,,,,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/CHEMBL1201561,,,"0    Peginterferon alfa-2b
Name: nan_synonyms, dtype: object","0                                Adjuvants, Immunologic
1                                              Alcohols
2                                      Alfa Interferons
3                   Amino Acids, Peptides, and Proteins
4                                 Anti-Infective Agents
5            Antineoplastic and Immunomodulating Agents
6                                      Antiviral Agents
7                                    Biological Factors
8                                  Cancer immunotherapy
9     Compounds used in a research, industrial, or h...
10                   Cytochrome P-450 CYP1A2 Inhibitors
11    Cytochrome P-450 CYP1A2 Inhibitors (strength u...
12                     Cytochrome P-450 CYP2C9 Inducers
13              Cytochrome P-450 CYP2C9 Inducers (weak)
14                   Cytochrome P-450 CYP2D6 Inhibitors
15            Cytochrome P-450 CYP2D6 Inhibitors (weak)
16                     Cytochrome P-450 Enzyme Inducers
17                   Cytochrome P-450 Enzyme Inhibitors
18                                            Cytokines
19                                        Drug Carriers
20                                     Ethylene Glycols
21                                              Glycols
22                                          Hepatitis C
23                             Immunosuppressive Agents
24                                        Immunotherapy
25        Intercellular Signaling Peptides and Proteins
26                                     Interferon alpha
27                                    Interferon Type I
28                                     Interferon-alpha
29                                          Interferons
30                            Macromolecular Substances
31                              Myelosuppressive Agents
32                                     Pegylated agents
33                                             Peptides
34                                             Polymers
35                                             Proteins
36                           Treatments for Hepatitis C
Name: nan_cat, dtype: object","Series([], Name: nan_subs, dtype: object)"
Asparaginase Escherichia coli,,Biotech,G4FQ3CKY5R,9015-68-3,,,,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/CHEMBL2108989,,,"0                       Asparaginase
1             Asparaginase (E. coli)
2                          Colaspase
3    Escherichia coli L-asparaginase
4                     L-asparaginase
5        L-asparagine amidohydrolase
Name: nan_synonyms, dtype: object","0                               Amidohydrolases
1                         Antineoplastic Agents
2    Antineoplastic and Immunomodulating Agents
3                                  Asparaginase
4                    Asparagine-specific Enzyme
5                                       Enzymes
6                         Enzymes and Coenzymes
7                                    Hydrolases
8                Narrow Therapeutic Index Drugs
9         Thyroxine-binding globulin inhibitors
Name: nan_cat, dtype: object","Series([], Name: nan_subs, dtype: object)"
Thyrotropin alfa,,Biotech,AVX3D5A4LM,194100-83-9,,,,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/CHEMBL1201533,,,"0    Recombinant Human Thyroid Stimulating Hormone
1                     Recombinant thyrotropin alfa
2                                            rhTSH
3                                             rTSH
4                                 Thyrotropin alfa
5                                Thyrotropin alpha
Name: nan_synonyms, dtype: object","0                  Agents used to treat hypothyroidism
1       Anterior Pituitary Lobe Hormones and Analogues
2                                             Hormones
3    Hormones, Hormone Substitutes, and Hormone Ant...
4                                     Peptide Hormones
5    Pituitary and Hypothalamic Hormones and Analogues
6                                   Pituitary Hormones
7                         Pituitary Hormones, Anterior
8    Systemic Hormonal Preparations, Excl. Sex Horm...
9                                     Thyroid Products
Name: nan_cat, dtype: object","Series([], Name: nan_subs, dtype: object)"
"Antihemophilic factor, human recombinant",,Biotech,P89DR4NY54,139076-62-3,,,,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/CHEMBL2108175,,,"0          Antihemophilic factor (recombinant)
1            Antihemophilic factor recombinant
2     Antihemophilic factor, human recombinant
3           Antihemophilic factor, recombinant
4         Coagulation factor VIII, recombinant
5                           Factor VIII (rDNA)
6                    Factor VIII (Recombinant)
7                         Factor VIII recombin
8                     Factor VIII, recombinant
9              Human Factor VIII (Recombinant)
10               Human factor VIII recombinant
11                                Octocog alfa
12                                        rAHF
13      Recombinant antihemophilic factor VIII
Name: nan_synonyms, dtype: object","0     Amino Acids, Peptides, and Proteins
1                      Biological Factors
2          Blood and Blood Forming Organs
3               Blood Coagulation Factors
4                          Blood Proteins
5                           Carbohydrates
6                           Disaccharides
7                            Hemophilia A
8                             Hemostatics
9            Human Antihemophilic Factors
10         Increased Coagulation Activity
11                       Oligosaccharides
12                        Polysaccharides
13                     Protein Precursors
14                               Proteins
Name: nan_cat, dtype: object","Series([], Name: nan_subs, dtype: object)"
Anakinra,,Biotech,9013DUQ28K,143090-92-0,,,,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/CHEMBL1201570,,,"0                                      Anakinra
1                                        IL-1RA
2    Interleukin-1 receptor antagonist anakinra
Name: nan_synonyms, dtype: object","0                   Agents reducing cytokine levels
1               Amino Acids, Peptides, and Proteins
2        Antineoplastic and Immunomodulating Agents
3                              Antirheumatic Agents
4                                Biological Factors
5      Biologics for Rheumatoid Arthritis Treatment
6                                         Cytokines
7            Disease-modifying Antirheumatic Agents
8                          Immunosuppressive Agents
9                                     Immunotherapy
10    Intercellular Signaling Peptides and Proteins
11                           Interleukin Inhibitors
12                Interleukin-1 Receptor Antagonist
13                                         Peptides
14                                         Proteins
Name: nan_cat, dtype: object","Series([], Name: nan_subs, dtype: object)"
Human immunoglobulin G,,Biotech,66Y330CJHS,308067-58-5,,,,,,,"0                      Human IGG
1         Human immunoglobulin G
2    Human normal immunoglobulin
3        Immune globulin (human)
4          Immune globulin human
5         Immunoglobulin (human)
6       Immunoglobulin G (human)
7        Immunoglobulin G, human
8                           IVIg
Name: nan_synonyms, dtype: object","0     Amino Acids, Peptides, and Proteins
1                              Antibodies
2                  Antigen Neutralization
3                          Blood Proteins
4                               Globulins
5                  Human Immunoglobulin G
6                        Immunoglobulin G
7                 Immunoglobulin Isotypes
8                         Immunoglobulins
9                     Immunologic Factors
10                         Immunoproteins
11            Passively Acquired Immunity
12                               Proteins
13                                  Serum
14                        Serum Globulins
Name: nan_cat, dtype: object","Series([], Name: nan_subs, dtype: object)"
Anistreplase,,Biotech,5O8V541HJ6,81669-57-0,,,,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/CHEMBL2108250,,,"0    Anisoylated plasminogen streptokinase activato...
1                                         Anistreplase
2                                                APSAC
Name: nan_synonyms, dtype: object","0               Agents causing angioedema
1     Amino Acids, Peptides, and Proteins
2                          Anticoagulants
3          Blood and Blood Forming Organs
4                          Blood Proteins
5                   Cardiovascular Agents
6                          Endopeptidases
7                                 Enzymes
8                   Enzymes and Coenzymes
9                Fibrin Modulating Agents
10                    Fibrinolytic Agents
11                     Hematologic Agents
12                             Hydrolases
13                     Peptide Hydrolases
14                 Plasminogen Activators
15                               Proteins
16                  Serine Endopeptidases
17                       Serine Proteases
Name: nan_cat, dtype: object","Series([], Name: nan_subs, dtype: object)"
Insulin human,,Biotech,1Y17CTI5SR,11061-68-0,,,,,,,"0     High molecular weight insulin human
1                           Human insulin
2                    human insulin (rDNA)
3                         Insulin (human)
4                           Insulin human
5             Insulin human [rDNA origin]
6                   Insulin Human Regular
7            Insulin human regular (rDNA)
8              Insulin human, rDNA origin
9               Insulin recombinant human
10     Insulin recombinant purified human
11                        Insulin regular
12                         Insulin, human
13                       Insulina regular
14                        Neutral insulin
15                 Regular Insulin, human
16                        Soluble insulin
Name: nan_synonyms, dtype: object","0                       Alimentary Tract and Metabolism
1                   Amino Acids, Peptides, and Proteins
2                         Blood Glucose Lowering Agents
3                      Cytochrome P-450 CYP1A2 Inducers
4     Cytochrome P-450 CYP1A2 Inducers (strength unk...
5                      Cytochrome P-450 Enzyme Inducers
6                                Drugs Used in Diabetes
7                                              Hormones
8     Hormones, Hormone Substitutes, and Hormone Ant...
9                        Hypoglycemia-Associated Agents
10                                              Insulin
11                                  Insulin, metabolism
12                                Insulin, Short-Acting
13    Insulins and Analogues for Injection, Fast-Acting
14                                  Pancreatic Hormones
15                                     Peptide Hormones
16                                             Peptides
Name: nan_cat, dtype: object","Series([], Name: nan_subs, dtype: object)"
Tenecteplase,,Biotech,WGD229O42W,191588-94-0,,,,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/CHEMBL2108791,,,"0    Tenecteplasa
1    Tenecteplase
2         TNK-tPA
Name: nan_synonyms, dtype: object","0               Agents causing angioedema
1     Amino Acids, Peptides, and Proteins
2                          Anticoagulants
3                      Biological Factors
4          Blood and Blood Forming Organs
5                          Blood Proteins
6                   Cardiovascular Agents
7                          Endopeptidases
8                                 Enzymes
9                   Enzymes and Coenzymes
10               Fibrin Modulating Agents
11                    Fibrinolytic Agents
12                     Hematologic Agents
13                             Hydrolases
14                     Peptide Hydrolases
15                 Plasminogen Activators
16                               Proteins
17                  Serine Endopeptidases
18                       Serine Proteases
19           Tissue Plasminogen Activator
Name: nan_cat, dtype: object","Series([], Name: nan_subs, dtype: object)"
Menotropins,,Biotech,8FYM5179QJ,9002-68-0,,,,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/CHEMBL2108427,,,"0    Human menopausal gonadotrophin
1                       Menotrophin
2                        Menotropin
3                       Menotropina
4              Menotropins (FSH;LH)
Name: nan_synonyms, dtype: object","0                   Amino Acids, Peptides, and Proteins
1                                   Biological Products
2                                      Complex Mixtures
3                                      Fertility Agents
4                              Fertility Agents, Female
5                Genito Urinary System and Sex Hormones
6                                         Gonadotropins
7                   Gonadotropins and Antigonadotropins
8                              Gonadotropins, Pituitary
9                                              Hormones
10    Hormones, Hormone Substitutes, and Hormone Ant...
11                                     Peptide Hormones
12                                             Peptides
13                                   Pituitary Hormones
14                         Pituitary Hormones, Anterior
15                          Reproductive Control Agents
16    Sex Hormones and Modulators of the Genital System
Name: nan_cat, dtype: object","Series([], Name: nan_subs, dtype: object)"
